"Details_Category","Details_Book_Name","Details_Author","Details_Year_of_Publication","Status_available","Status_number_available"
"Mystery","The Da Vinci Code","Dan Brown","2003",False,"4"
"Fantasy","Harry Potter and the Sorcerer's Stone","J.K. Rowling","1997",True,"6"
"Dystopian Fiction","Brave New World","Aldous Huxley","1932",True,"4"
"Fantasy","The Lord of the Rings","J.R.R. Tolkien","1954",True,"3"
"Romance","Me Before You","Jojo Moyes","2012",True,"2"
"Science Fiction","Fahrenheit 451","Ray Bradbury","1953",True,"3"
"Thriller","The Silent Patient","Alex Michaelides","2019",True,"1"
"Non-Fiction","Becoming","Michelle Obama","2018",True,"6"
"Science Fiction","Foundation","Isaac Asimov","1951",True,"9"
"Classic Literature","Moby-Dick","Herman Melville","1851",True,"11"
"Biography","Leonardo da Vinci","Walter Isaacson","2017",True,"8"
"History","The Guns of August","Barbara W. Tuchman","1962",True,"2"
"Fantasy","The Name of the Wind","Patrick Rothfuss","2007",True,"4"
"Self-Help","Mindset: The New Psychology of Success","Carol S. Dweck","2006",True,"6"
"Science","Astrophysics for People in a Hurry","Neil deGrasse Tyson","2017",True,"5"
"Historical Fiction","The Nightingale","Kristin Hannah","2015",True,"5"
"Thriller","The Girl on the Train","Paula Hawkins","2015",True,"4"
"Biography","The Immortal Life of Henrietta Lacks","Rebecca Skloot","2010",True,"1"
"Fantasy","American Gods","Neil Gaiman","2001",True,"7"
"Science Fiction","Ender's Shadow","Orson Scott Card","1999",True,"12"
"Romance","Outlander","Diana Gabaldon","1991",True,"3"
"Mystery","And Then There Were None","Agatha Christie","1939",True,"1"
"Science","The Gene: An Intimate History","Siddhartha Mukherjee","2016",True,"6"
"Classic Literature","Jane Eyre","Charlotte Brontë","1847",True,"2"
"Fantasy","Mistborn: The Final Empire","Brandon Sanderson","2006",True,"6"
"learn coding","codezilla coding","islam","2023",False,"4"
